alg,Fundamentos de Lógica e Algoritmos 
art,Arte
bio,Biologia
edf,Educação Física
ela,Eletrônica Analógica e Digital 
eli,Eletricidade Instrumental 
esp,Espanhol 
fil,Filosofia
fis,Física
geo,Geografia 
gor,Gestão Organizacional
his,História
inf,Informática 
ing,Inglês
man,Organização e Manutenção de Computadores 
mat,Matemática
pbd,Programação com Acesso a Banco de Dados 
pds,Projeto de Desenvolvimento de Software 
poo,Programação Estruturada e Orientada a Objetos 
por,Língua Portuguesa e Literatura
ppi,Programação para Internet 
qui,Química
qvt,Qualidade de Vida e Trabalho 
red,Arquitetura de redes de computadores e Tecnologia de Implementação de Redes
soc,Sociologia
sor,Fundamentos de Sistemas Operacionais e Sistemas Operacionais de Redes
web,Autoria Web 
